epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.9110073937310113,"[0.6981737613677979, 0.054025232791900635, 0.025341514497995377, 0.1762462556362152, 0.09680440276861191, 0.05145491287112236, 0.06039466708898544]","[0.692423403263092, 0.053880851715803146, 0.017068061977624893, 0.13474367558956146, 0.13455437123775482, 0.07236095517873764, 0.04431866481900215]"
2,1.2990789810816448,"[0.9219806790351868, 0.22828860580921173, 0.1058952808380127, 0.25772517919540405, 0.11541144549846649, 0.13865721225738525, 0.14058150351047516]","[0.9025850296020508, 0.17447353899478912, 0.05271071940660477, 0.19718900322914124, 0.1222994327545166, 0.16406849026679993, 0.09091929346323013]"
3,1.1344591034783258,"[0.9770702123641968, 0.5749858617782593, 0.3232344388961792, 0.5315276384353638, 0.2906167805194855, 0.2663692831993103, 0.3772179186344147]","[0.9684426188468933, 0.4298381805419922, 0.1935323178768158, 0.4177683889865875, 0.2539135813713074, 0.2647256553173065, 0.25896570086479187]"
4,0.9827145934104919,"[0.9861029386520386, 0.6251807808876038, 0.5723062753677368, 0.7603029012680054, 0.7072027325630188, 0.30785298347473145, 0.5019799470901489]","[0.983437180519104, 0.5219827890396118, 0.44245901703834534, 0.6937505006790161, 0.5985358357429504, 0.3293876051902771, 0.33550548553466797]"
5,0.7879533794191148,"[0.9930316805839539, 0.7686673402786255, 0.665648341178894, 0.8352935910224915, 0.7925807237625122, 0.381654292345047, 0.7563754916191101]","[0.991424560546875, 0.6398168802261353, 0.5182157158851624, 0.747700035572052, 0.7686869502067566, 0.39512261748313904, 0.6080924272537231]"
6,0.6189748671319749,"[0.9906429052352905, 0.609468400478363, 0.6912726163864136, 0.8183779716491699, 0.7965999841690063, 0.3829370141029358, 0.634223997592926]","[0.9876626133918762, 0.4803220331668854, 0.52991783618927, 0.708250880241394, 0.7531382441520691, 0.3531873822212219, 0.47984275221824646]"
7,0.5256079647276136,"[0.9953378438949585, 0.8455498814582825, 0.8123855590820312, 0.8795977830886841, 0.8251222372055054, 0.4632442891597748, 0.8352242708206177]","[0.9938098788261414, 0.6790507435798645, 0.6142451167106628, 0.8058196902275085, 0.7712506055831909, 0.4426857829093933, 0.6455584764480591]"
8,0.44395351542366873,"[0.9946244359016418, 0.7771773338317871, 0.7921162247657776, 0.8978279232978821, 0.8027474284172058, 0.46259909868240356, 0.7782204747200012]","[0.9927221536636353, 0.6856399774551392, 0.6132588982582092, 0.8018451929092407, 0.781501054763794, 0.4004856050014496, 0.5709057450294495]"
9,0.40257368153995937,"[0.9956239461898804, 0.8246968984603882, 0.7527347803115845, 0.8725649118423462, 0.8145381808280945, 0.542003333568573, 0.7930595278739929]","[0.9938462972640991, 0.720009446144104, 0.6179040670394897, 0.8173167109489441, 0.7927728295326233, 0.4829994738101959, 0.5825074315071106]"
10,0.4352044939994812,"[0.9955995678901672, 0.8150783777236938, 0.7601849436759949, 0.8386553525924683, 0.8060723543167114, 0.5012698173522949, 0.8278708457946777]","[0.9934309720993042, 0.7111191153526306, 0.5839685797691345, 0.7804726362228394, 0.7621162533760071, 0.4379402697086334, 0.6486304998397827]"
11,0.4074442856841617,"[0.9972060322761536, 0.8395965695381165, 0.797269344329834, 0.8853896260261536, 0.8783960342407227, 0.6459192633628845, 0.843924343585968]","[0.9954354166984558, 0.7477940320968628, 0.6533492803573608, 0.8232566118240356, 0.8365934491157532, 0.4857470989227295, 0.6236902475357056]"
12,0.3952541298336453,"[0.9955533742904663, 0.8442140817642212, 0.79714035987854, 0.8196401596069336, 0.7895262241363525, 0.5101999640464783, 0.8263872861862183]","[0.9934645891189575, 0.7252546548843384, 0.6476732492446899, 0.7329992055892944, 0.7517712116241455, 0.45441508293151855, 0.6342509388923645]"
