epoch,train_loss,train_dice_per_class,val_dice_per_class
11,0.36284846901893614,"[0.9893908500671387, 0.8212825655937195, 0.7327648401260376, 0.8830958604812622, 0.8329454064369202, 0.6493976712226868, 0.7901953458786011]","[0.9886420369148254, 0.773919403553009, 0.7019689679145813, 0.88353431224823, 0.7800629734992981, 0.49481698870658875, 0.7013360261917114]"
12,0.3477221691608429,"[0.9893267750740051, 0.8508812785148621, 0.7774859070777893, 0.855885922908783, 0.8473957777023315, 0.6050148010253906, 0.8249731659889221]","[0.9882301092147827, 0.8126001358032227, 0.7265556454658508, 0.8536198735237122, 0.7635586857795715, 0.4707266390323639, 0.7215269207954407]"
13,0.34572680592536925,"[0.9890815615653992, 0.8137677907943726, 0.7625781893730164, 0.8970429301261902, 0.8587376475334167, 0.6137722730636597, 0.8390858769416809]","[0.9871516823768616, 0.7550592422485352, 0.6771174669265747, 0.8734246492385864, 0.7590503096580505, 0.45256319642066956, 0.702562689781189]"
14,0.3429433172941208,"[0.9895831942558289, 0.8579797148704529, 0.777122974395752, 0.8532856702804565, 0.8189509510993958, 0.6563341021537781, 0.7747846245765686]","[0.9883783459663391, 0.8085165619850159, 0.7182809114456177, 0.8450670838356018, 0.7727200388908386, 0.4810454249382019, 0.678495466709137]"
15,0.34747256129980086,"[0.9885097146034241, 0.872473418712616, 0.7428247332572937, 0.8664779663085938, 0.8262556195259094, 0.5836212038993835, 0.7934979200363159]","[0.9874110221862793, 0.842412531375885, 0.7100494503974915, 0.872003436088562, 0.7669636011123657, 0.44361552596092224, 0.7161121964454651]"
16,0.34130306452512743,"[0.9914869666099548, 0.8855233788490295, 0.7819055914878845, 0.878555953502655, 0.8390011191368103, 0.652932345867157, 0.863678514957428]","[0.9898496866226196, 0.8413571715354919, 0.7147447466850281, 0.8627060055732727, 0.7958911061286926, 0.48363569378852844, 0.7273499369621277]"
17,0.3248821634054184,"[0.9911263585090637, 0.8636566400527954, 0.7860428690910339, 0.8846592903137207, 0.832630455493927, 0.6716064810752869, 0.8349482417106628]","[0.9904575347900391, 0.8069313764572144, 0.7063285708427429, 0.8808032274246216, 0.7909339666366577, 0.5197820067405701, 0.7557181119918823]"
18,0.319075947701931,"[0.9903386831283569, 0.8723271489143372, 0.7763915061950684, 0.8998311758041382, 0.8565351366996765, 0.6542149782180786, 0.8067757487297058]","[0.9885025024414062, 0.8165974020957947, 0.7041754126548767, 0.8713326454162598, 0.7694146037101746, 0.4939800798892975, 0.7061676383018494]"
19,0.32565562158823014,"[0.9914869070053101, 0.8870157599449158, 0.7968845963478088, 0.8898190855979919, 0.8231593370437622, 0.6559373736381531, 0.8368954658508301]","[0.9903560876846313, 0.8409115672111511, 0.7240298986434937, 0.875978946685791, 0.7626972198486328, 0.49911075830459595, 0.7310591340065002]"
20,0.30903042942285536,"[0.9909086227416992, 0.8667927384376526, 0.8114033341407776, 0.8844848275184631, 0.8508182168006897, 0.6490862965583801, 0.8514862060546875]","[0.989490807056427, 0.8075003623962402, 0.7179028391838074, 0.8781500458717346, 0.7782101035118103, 0.49570590257644653, 0.7504979372024536]"
