instance_number,distance_clav_k1,entropy,sharpness_global,sharpness_local
1,15.0,0.0146049400791525,0.08036969600134426,0.08646166152625546
3,14.7648230602334,0.0138979526236653,0.08484169563260582,0.09596784946263172
5,14.142135623730953,0.0129986135289072,0.09058322509401226,0.10511022788031545
7,14.142135623730953,0.01218824647367,0.0933576365288936,0.11150707118471803
9,14.142135623730953,0.0120088644325733,0.09642485774236849,0.1153399362420233
11,14.142135623730953,0.011766804382205,0.09873990715862643,0.11988786323833218
13,14.142135623730953,0.0120297763496637,0.10102885238561418,0.12074290837283437
15,15.620499351813308,0.0119905089959502,0.10284930076660585,0.11831886750616144
17,14.866068747318506,0.012045307084918,0.10362753387741738,0.11582045535244243
19,14.7648230602334,0.0124608669430017,0.10387137623401438,0.11662013075157225
21,14.7648230602334,0.0117754777893424,0.10436215073583428,0.1177513070127551
23,14.7648230602334,0.0114465439692139,0.10334059592874394,0.11925641263798394
25,14.422205101855956,0.0110163874924182,0.10238760153060766,0.11915095346044725
27,14.7648230602334,0.0112864188849926,0.10103351162987374,0.12179136979005137
29,14.7648230602334,0.0122039439156651,0.0997952852001749,0.12469981628354518
31,14.422205101855956,0.0128225851804018,0.0996236678660673,0.12800977032652985
33,14.212670403551895,0.0132697103545069,0.09879018618267253,0.13115040336297495
35,13.892443989449804,0.0136206950992345,0.09975281980815945,0.1374670697418115
37,13.892443989449804,0.0140815284103155,0.0999432859763025,0.13853125767335675
39,14.212670403551895,0.0138803115114569,0.09908713643929516,0.13860192516206074
41,13.892443989449804,0.0138129899278283,0.09861346803614573,0.13776556260981185
43,13.892443989449804,0.0138120623305439,0.09771093305191554,0.13358565869254527
45,13.41640786499874,0.0134265031665563,0.09686218436102259,0.1283362481466358
47,13.0,0.0131212305277585,0.09540032082364892,0.1232067956231014
49,13.0,0.0131749380379915,0.09570499420782148,0.12661050907478102
51,13.41640786499874,0.0131207322701811,0.09529669010761657,0.1255433887324122
53,13.41640786499874,0.0132587309926748,0.09552658949534107,0.12664913858752788
55,12.806248474865695,0.0133725591003894,0.0963976578507128,0.12987726375324726
57,12.806248474865695,0.0138017805293202,0.09791819264008175,0.12902309762552885
59,13.038404810405298,0.0135542675852775,0.09855872274875832,0.13927224783275152
61,13.038404810405298,0.0135750137269496,0.09932857529214979,0.14262912843443804
63,12.806248474865695,0.0137656359001994,0.09923041848758177,0.14702515762511512
65,13.601470508735444,0.014162328094244,0.09961515840555489,0.14665640872011934
67,12.806248474865695,0.0136993685737252,0.0992153889455468,0.14720526879227286
69,12.206555615733702,0.0135161625221371,0.09912139564899988,0.14767140531438736
71,12.529964086141668,0.0134394885972142,0.09775558975548611,0.13588014934962253
73,12.529964086141668,0.0132546471431851,0.09520160223057504,0.12684655801809033
75,13.0,0.0129094151780009,0.09249693484417962,0.11586959129767704
77,13.41640786499874,0.0126707665622234,0.0904059620498257,0.10871311892477484
79,13.601470508735444,0.0125301992520689,0.09024781401765793,0.11041467664067556
81,13.892443989449804,0.0122956801205873,0.09059059788967933,0.11251355946733341
83,13.45362404707371,0.0122962119057774,0.09119831775274735,0.11723905483987498
85,13.45362404707371,0.012267823331058,0.09260391169574693,0.12254953444844677
87,13.038404810405298,0.0125368507578969,0.09350148952323116,0.12476575412983097
89,13.41640786499874,0.0129005126655101,0.09388388217564153,0.12801080430387568
91,13.0,0.0135305747389793,0.09477707613102147,0.1296160635530519
93,13.41640786499874,0.0133619979023933,0.09551143137418898,0.13084442083591027
95,13.601470508735444,0.0139418188482522,0.09667047970770648,0.1298779780044111
97,13.45362404707371,0.0138895222917199,0.09679107432990279,0.12886131835350653
99,13.41640786499874,0.0138324163854122,0.09766001386251454,0.1294394188372244
101,13.41640786499874,0.0125601552426815,0.09654809243228442,0.12151497410211706
103,13.41640786499874,0.0113845514133572,0.09634778213736307,0.12150925369055342
105,13.038404810405298,0.0113097848370671,0.09577368466733993,0.11917804933203478
107,13.038404810405298,0.0108754597604274,0.0962393419391509,0.11924496004979519
109,13.41640786499874,0.0112682394683361,0.09610682429279596,0.11961618855422432
111,13.601470508735444,0.0112141873687505,0.09609052793610136,0.11981964098662723
113,13.892443989449804,0.0112657137215137,0.09747383620075921,0.12167798866046638
