instance_number,distance_clav_k1,entropy,sharpness_global,sharpness_local
1,13.45362404707371,0.0068814372643828,0.03412389606661837,0.009858936254504002
2,13.45362404707371,0.006703108549118,0.03584972994236222,0.012754834776590803
3,12.806248474865695,0.006403480656445,0.037124384105028455,0.013601906858310519
4,13.45362404707371,0.0063253487460315,0.03765464611699552,0.013740522534250295
5,13.45362404707371,0.0063648875802755,0.03754377868387721,0.015198713999106354
6,13.45362404707371,0.00637644296512,0.03764991498862782,0.01725361955247703
7,13.41640786499874,0.0067674214951694,0.03758863370266137,0.018213858584317375
8,13.601470508735444,0.0067855729721486,0.03791912223977445,0.018313104473788373
9,13.601470508735444,0.0067394315265119,0.03821858010685809,0.018842503035369208
10,13.892443989449804,0.0065918825566768,0.03839143864527956,0.018914786154379727
11,14.142135623730953,0.0066906260326504,0.038298127733973,0.0190786050978126
12,14.422205101855956,0.0066877012141048,0.0384602788638391,0.018374248407089948
13,14.866068747318506,0.0072044502012431,0.03878043473613205,0.017581171950765608
14,14.866068747318506,0.0078133977949619,0.03925838100242954,0.017163449478690293
15,15.620499351813308,0.0076389014720916,0.03968117233961247,0.01855676010887656
16,15.811388300841896,0.0078057432547211,0.04017356068891083,0.019308586705990415
17,16.278820596099706,0.0079157324507832,0.04072188273312917,0.01977134032305897
18,16.278820596099706,0.0082065584138035,0.041099443541893044,0.01986960354645278
19,16.401219466856727,0.0078948158770799,0.04123384797821237,0.01986373736880353
20,16.401219466856727,0.0075631947256624,0.041876886669977915,0.02154193036046186
21,16.401219466856727,0.0075154989026486,0.042100279042707675,0.022032744026501547
22,16.55294535724685,0.0072491043247282,0.042441771026384585,0.021511977326234104
23,17.46424919657298,0.0071014487184584,0.042637545807737605,0.02257308673218982
24,17.46424919657298,0.0067335474304854,0.04264860243348865,0.023239348911020766
25,17.0,0.0065380702726542,0.04283409576346947,0.023438876304079585
26,17.0,0.0064432919025421,0.043381790505922384,0.023222539792945814
27,16.55294535724685,0.0063877655193209,0.043847589880376965,0.023565755925261035
28,16.55294535724685,0.0063295592553913,0.04262251635487793,0.022662533188382957
29,16.55294535724685,0.0062936190515756,0.041288128243959055,0.022094255856510682
30,16.55294535724685,0.0062054675072431,0.038913918670140706,0.020975104521762156
31,16.15549442140351,0.0061990623362362,0.0373521068748165,0.02045597742509967
32,16.1245154965971,0.0062523139640688,0.036358804958401054,0.019865150386079056
33,15.556349186104043,0.006270651705563,0.03559448508820667,0.019524279107038058
34,15.556349186104043,0.0063691451214253,0.034996994743987375,0.019254227852971328
35,15.0,0.0064188800752162,0.0349461545199752,0.019386539804806653
36,14.866068747318506,0.0063136504031717,0.0348373323739964,0.018913709655882977
37,14.212670403551895,0.0062349699437618,0.034707769682874035,0.018651044968026498
38,13.601470508735444,0.0062209339812397,0.03497434694982228,0.019700965216816343
39,13.601470508735444,0.0061589861288666,0.035057873130277584,0.020073848497140192
40,13.601470508735444,0.006122431717813,0.03511514108332445,0.020580610773731453
41,13.038404810405298,0.0061700171791017,0.035173404437171985,0.020950506766966498
42,13.41640786499874,0.0062215458601713,0.03543848349603,0.02196306781858596
43,13.41640786499874,0.0061023235321044,0.03563148396102771,0.023678944453546208
44,13.41640786499874,0.0061013372614979,0.035728448217355414,0.023894209778832706
45,13.41640786499874,0.0060814023017883,0.036001992630127815,0.024413031662981297
46,13.41640786499874,0.006086366251111,0.036732108843686474,0.025164816033990955
47,13.45362404707371,0.0060477661900222,0.038077772361824774,0.024837135317308325
48,13.892443989449804,0.0060071945190429,0.03913116591174904,0.024860281233331186
49,14.142135623730953,0.0060857711359858,0.03973077826067169,0.02438321062927459
50,14.142135623730953,0.0060128951445221,0.040004498326648846,0.023224456976994105
