epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.8094291024737887,"[0.7987425923347473, 0.1527530997991562, 0.14545567333698273, 0.1465093046426773, 0.08448751270771027, 0.03931909427046776, 0.06792901456356049]","[0.822344183921814, 0.13445091247558594, 0.13296076655387878, 0.16962072253227234, 0.06935101002454758, 0.04519736394286156, 0.053656768053770065]"
2,1.2090885321299234,"[0.9359532594680786, 0.3201124370098114, 0.40666595101356506, 0.49410420656204224, 0.18509235978126526, 0.14861354231834412, 0.11693612486124039]","[0.9432185292243958, 0.3374299108982086, 0.3205464482307434, 0.49251994490623474, 0.18866659700870514, 0.15547309815883636, 0.10589249432086945]"
3,1.0581735120879279,"[0.9871550798416138, 0.691183865070343, 0.3801829218864441, 0.6585706472396851, 0.6937492489814758, 0.3916626572608948, 0.5268356800079346]","[0.990625262260437, 0.6603517532348633, 0.35152578353881836, 0.7042732834815979, 0.5663086175918579, 0.413158655166626, 0.3887748122215271]"
4,0.9204070819748773,"[0.9908356666564941, 0.5677803754806519, 0.6156879663467407, 0.7936646342277527, 0.7336861491203308, 0.4668188691139221, 0.6410136818885803]","[0.9932937622070312, 0.6227262616157532, 0.5171788334846497, 0.8162649869918823, 0.6155924797058105, 0.4492739140987396, 0.520789623260498]"
5,0.699397189087338,"[0.9817723035812378, 0.42036932706832886, 0.48098164796829224, 0.6720523834228516, 0.5075072050094604, 0.2804555296897888, 0.5442789793014526]","[0.9853740930557251, 0.4429651200771332, 0.40281930565834045, 0.6370067000389099, 0.4561033844947815, 0.3116934597492218, 0.3933400809764862]"
6,0.6234010153346592,"[0.9840205311775208, 0.6577125787734985, 0.5857006311416626, 0.7719247341156006, 0.6683605313301086, 0.23765532672405243, 0.6065014600753784]","[0.9876133799552917, 0.6531159281730652, 0.4925061762332916, 0.7667005062103271, 0.5410712957382202, 0.292002409696579, 0.509842038154602]"
7,0.5029644641611312,"[0.9942145347595215, 0.7756341099739075, 0.7242645025253296, 0.8386428952217102, 0.7849462032318115, 0.5083603858947754, 0.7344866991043091]","[0.9948851466178894, 0.7493841052055359, 0.6087563633918762, 0.8475173115730286, 0.6351626515388489, 0.46866267919540405, 0.4986344277858734]"
8,0.44117817150221933,"[0.9947845339775085, 0.8095299005508423, 0.7426304221153259, 0.8524252772331238, 0.8209050297737122, 0.49542537331581116, 0.8069286346435547]","[0.9955177307128906, 0.7769656777381897, 0.560546338558197, 0.8169722557067871, 0.6678819060325623, 0.43197113275527954, 0.5147927403450012]"
9,0.40039998756514655,"[0.9945014119148254, 0.7931431531906128, 0.6625240445137024, 0.8366433382034302, 0.8247026205062866, 0.52390456199646, 0.7936016321182251]","[0.9951671361923218, 0.7832868695259094, 0.5469405055046082, 0.821601390838623, 0.6712988018989563, 0.4637049734592438, 0.6121393442153931]"
10,0.4013996912373437,"[0.9920641183853149, 0.8042631149291992, 0.7180624008178711, 0.8489896059036255, 0.8215818405151367, 0.4061282277107239, 0.6966089606285095]","[0.9933187365531921, 0.7866530418395996, 0.6144614219665527, 0.8508442044258118, 0.6761485934257507, 0.40265145897865295, 0.5095791220664978]"
