instance_number,distance_clav_k1,entropy,sharpness_global,sharpness_local,distance_annotation
1,8.94427190999916,0.0067437528632581,0.0218427960909428,0.0463305920989032,4
2,9.219544457292889,0.0064637493342161,0.0239250086557975,0.0522352272649016,3
3,9.848857801796104,0.0065579884685575,0.0252763414261106,0.0511110862666449,2
4,9.433981132056603,0.006627953145653,0.0261128909264143,0.0498240987298024,1
5,9.433981132056603,0.0069609694182872,0.027495798460209,0.0353398625644234,0
6,9.848857801796104,0.0071307970210909,0.0283777658466666,0.0543308500998894,1
7,9.899494936611664,0.0070388899184763,0.0292470247072796,0.0527921707330823,2
8,9.899494936611664,0.0069584650918841,0.0295738779544943,0.049270788582796,3
9,9.899494936611664,0.0066583734005689,0.0297315665023035,0.0508817576445884,4
10,10.63014581273465,0.0060723545029759,0.0306583804191382,0.0469393569817124,5
11,10.63014581273465,0.0064315302297472,0.0311552474167336,0.0482575964318848,6
12,10.295630140987,0.0065370630472898,0.031859060733519,0.0512119392876766,7
13,10.295630140987,0.0066771791316568,0.0328630227991066,0.0534321441411027,8
14,9.899494936611664,0.0066638658754527,0.0337699938591487,0.0542563496451005,7
15,9.899494936611664,0.0065730889327824,0.0347620944862577,0.0558019064567911,6
16,9.899494936611664,0.0065808142535388,0.0357470639649951,0.0613890858946895,5
17,10.0,0.0062919436022639,0.0363541799342626,0.0582677114922464,4
18,10.0,0.006254666019231,0.0372735895197308,0.0618133010112858,3
19,10.0,0.005830536596477,0.0379871361208038,0.0611915910270714,2
20,10.295630140987,0.0059879664331674,0.038390754368967,0.0617723764245338,1
21,10.295630140987,0.0062455292791128,0.0384712843501694,0.0615704607135757,0
22,10.295630140987,0.0062856092117726,0.0387499836846055,0.0641610836780406,1
23,10.770329614269007,0.0063972705975174,0.038516090939577,0.0645811797254399,2
24,10.63014581273465,0.0063335835002362,0.0389322938103099,0.0666125350945691,3
25,10.63014581273465,0.0061164973303675,0.0390897116782472,0.0660233797828869,4
26,10.63014581273465,0.0063428864814341,0.0390517966609122,0.0626188915998527,5
27,10.63014581273465,0.0062063192017376,0.0390676259118077,0.0651081176350585,4
28,10.63014581273465,0.0062410365790128,0.0389497352854479,0.0649383138379992,3
29,10.63014581273465,0.0063631413504481,0.0384660315353711,0.0618192832230202,2
30,10.816653826391969,0.0063009681180119,0.0387021312967954,0.0620663957386711,1
31,10.816653826391969,0.0063207470811903,0.0387996302864661,0.0639862571608715,0
32,11.31370849898476,0.0065524284727871,0.0391254906925423,0.0658104359753154,1
33,11.704699910719626,0.0065967608243227,0.0394111854825412,0.0668893552799307,2
34,11.6619037896906,0.0066663646139204,0.0395952334828952,0.0670759317718321,3
35,11.180339887498947,0.0069125271402299,0.0394655790717904,0.0660110718745876,4
36,10.770329614269007,0.0069276154972612,0.0405584660101085,0.0694681125081187,5
37,11.180339887498947,0.0071922694332897,0.0403051741320234,0.0649021452238629,6
38,11.6619037896906,0.007251271046698,0.0408125992891553,0.0644661207193541,7
39,11.6619037896906,0.0070760296657681,0.0411812367169149,0.0680311431117492,8
40,11.6619037896906,0.0069624679163098,0.0412167652840758,0.0680228771465877,9
41,11.180339887498947,0.0068418188020586,0.0411475290224163,0.0651120919514917,10
42,10.770329614269007,0.0072713764384388,0.0416890512808073,0.0669709862136703,11
43,10.770329614269007,0.0071134520694613,0.0413767439743401,0.0632308186410076,10
44,10.770329614269007,0.0072156405076384,0.0414187271979557,0.062013545366616,9
45,10.295630140987,0.0072002233937382,0.0415067241070954,0.0684617623414308,8
46,10.0,0.0072715384885668,0.0414655863884881,0.0668710405060679,7
47,9.848857801796104,0.0071524572558701,0.0412384489342249,0.0694275078971228,6
48,9.848857801796104,0.0066953017376363,0.0407785821122215,0.0687321294606024,5
49,10.770329614269007,0.0062398742884397,0.0406393021643069,0.0710417002748592,4
50,11.180339887498947,0.0061475192196667,0.0393195588505115,0.0657883116575505,3
51,10.63014581273465,0.0061368490569293,0.0390448066889048,0.0649859554119403,2
52,10.816653826391969,0.0060429060831665,0.0386093571904648,0.0650709376106039,1
53,10.770329614269007,0.006207657046616,0.0383275289808046,0.0636364047973454,0
54,10.770329614269007,0.0060399137437343,0.0383616033961834,0.0653298823055411,1
55,10.0,0.0058567808009684,0.0380519423533703,0.0631806820479334,2
56,9.433981132056603,0.0057753608562052,0.0390870609610662,0.0663697889077229,3
57,9.433981132056603,0.0056974915787577,0.0387274491231634,0.063406669956377,4
58,9.433981132056603,0.0056225303560495,0.0383675241423454,0.0599166558031964,5
59,9.219544457292889,0.0056239706464111,0.0379657549210599,0.059409303937426,6
60,9.433981132056603,0.0056381309404969,0.0372313220822141,0.0590202669689176,6
61,9.219544457292889,0.0057225357741117,0.0370060946982329,0.0576233134668251,5
62,8.94427190999916,0.0057920073159039,0.036222738796741,0.0586399535635597,4
63,9.219544457292889,0.0058414582163095,0.0358764796724037,0.0567237130514078,3
64,8.54400374531753,0.0056970808655023,0.0345156944511496,0.0579245337263968,2
65,8.94427190999916,0.0056300880387425,0.0334502321563039,0.0557641828410674,1
66,8.94427190999916,0.006061878055334,0.0330744751458812,0.0522450214011968,0
67,8.94427190999916,0.0062026176601648,0.0335764272628062,0.0526531594188607,1
68,8.94427190999916,0.0061877989210188,0.0340435779150956,0.0468452079529977,2
69,8.94427190999916,0.0062391478568315,0.0342817113777013,0.0475938771243178,3
70,10.0,0.006230576429516,0.0353280204608524,0.0502910384944233,4
71,9.848857801796104,0.0062172687612473,0.0357491368241667,0.0511127594253591,5
72,10.0,0.0061038341373205,0.0348517356583735,0.0514029629234011,6
73,10.816653826391969,0.0060074226930737,0.0350242988916226,0.0510890852287706,6
74,10.816653826391969,0.0060385926626622,0.0350780485612784,0.0485041749589011,5
75,11.180339887498947,0.0060079945251345,0.035739519561613,0.0510558826737478,4
76,10.770329614269007,0.0062058293260633,0.0358944359743157,0.0508920303486982,3
77,10.63014581273465,0.0061973170377314,0.0360911157011513,0.0597278461779366,2
78,10.816653826391969,0.0063698128797113,0.0366773410015381,0.0541435149876342,1
79,10.0,0.0064817578531801,0.0362840185435194,0.0537729800800641,0
80,9.433981132056603,0.0065443264320492,0.0361195432360408,0.060099831445733,1
81,9.219544457292889,0.0066899382509291,0.0360337187787135,0.0617544424709719,2
82,9.219544457292889,0.0070031709037721,0.0356997405268277,0.0603826292080726,3
83,9.219544457292889,0.0067992634139955,0.0356456483658837,0.0501218525344963,4
84,9.219544457292889,0.0065476112067699,0.0359690279084753,0.0503311392015235,5
85,8.94427190999916,0.0066132452338933,0.0359341053677024,0.052659488368856,6
86,9.433981132056603,0.0066631911322474,0.0359653916667761,0.0530392746901547,7
87,8.602325267042627,0.0065201804973185,0.035751835954566,0.0529352372119261,8
88,8.54400374531753,0.0063878512009978,0.0342937647749475,0.0571526002697653,7
89,8.94427190999916,0.006400367245078,0.0339038693851559,0.0553831065662908,6
90,9.433981132056603,0.0067469729110598,0.0338576505580386,0.0554267140821237,5
91,9.848857801796104,0.0066369045525789,0.0341817318571934,0.0554307065528352,4
92,9.848857801796104,0.0066869449801743,0.0341193578975961,0.0565768568513848,3
