instance_number,distance_clav_k1,entropy
1,20.396078054371138,0.012719056569039822
2,20.396078054371138,0.012438962236046791
3,20.615528128088304,0.012359866872429848
4,20.8806130178211,0.012102092616260052
5,13.038404810405298,0.011847329325973988
6,12.806248474865697,0.01167384721338749
7,21.37755832643195,0.011761662550270557
8,21.37755832643195,0.011716906912624836
9,21.37755832643195,0.011807798407971859
10,21.37755832643195,0.011719143018126488
11,21.37755832643195,0.011722242459654808
12,21.37755832643195,0.01184503547847271
13,21.37755832643195,0.011723000556230545
14,12.206555615733702,0.01159748900681734
15,12.041594578792296,0.011393013410270214
16,11.661903789690601,0.011339390650391579
17,12.041594578792296,0.011168028227984905
18,11.661903789690601,0.011198978871107101
19,22.20360331117452,0.011377637274563313
20,22.20360331117452,0.011417174711823463
21,22.20360331117452,0.011392291635274887
22,11.40175425099138,0.011431289836764336
23,11.40175425099138,0.01147535815834999
24,10.63014581273465,0.011516542173922062
25,10.63014581273465,0.01152835413813591
26,10.816653826391969,0.011819456703960896
27,10.816653826391969,0.012181125581264496
28,11.313708498984761,0.012486670166254044
29,10.816653826391969,0.012742250226438046
30,22.80350850198276,0.012783821672201157
31,13.892443989449804,0.012870809063315392
32,13.601470508735444,0.013055883347988129
33,13.601470508735444,0.013222677633166313
34,13.601470508735444,0.013295909389853477
35,13.601470508735444,0.013816215097904205
36,12.806248474865697,0.013935872353613377
37,13.601470508735444,0.013877719640731812
38,13.892443989449804,0.01350497268140316
39,13.892443989449804,0.013428551144897938
40,13.92838827718412,0.013458304107189178
41,13.92838827718412,0.013280694372951984
42,14.317821063276353,0.01308296900242567
43,14.317821063276353,0.012788640335202217
44,14.317821063276353,0.012690111063420773
45,14.560219778561036,0.012813562527298927
46,14.560219778561036,0.012766126543283463
47,13.0,0.012716211378574371
48,13.0,0.012548449449241161
49,14.317821063276353,0.012722229585051537
50,14.317821063276353,0.0127858342602849
51,13.92838827718412,0.012884513475000858
52,14.317821063276353,0.012551424093544483
53,13.601470508735444,0.012427067384123802
54,13.416407864998739,0.012349260970950127
55,13.601470508735444,0.01248805969953537
56,13.416407864998739,0.012468237429857254
57,13.416407864998739,0.012497732415795326
58,13.892443989449804,0.012487603351473808
59,14.317821063276353,0.0124899260699749
60,14.317821063276353,0.012573673389852047
61,14.317821063276353,0.012628755532205105
62,14.7648230602334,0.012639399617910385
63,28.178005607210743,0.012640999630093575
64,28.178005607210743,0.012656878679990768
65,28.178005607210743,0.012923246249556541
66,27.784887978899608,0.012775174342095852
67,28.160255680657446,0.012640577740967274
68,27.294688127912362,0.012645362876355648
69,27.313000567495326,0.012475810013711452
70,27.313000567495326,0.012337259948253632
71,27.313000567495326,0.012307721190154552
72,27.730849247724095,0.012296680361032486
73,27.730849247724095,0.012103011831641197
74,27.730849247724095,0.01213780976831913
75,27.730849247724095,0.012110287323594093
76,27.730849247724095,0.012441150844097137
77,27.85677655436824,0.012170587666332722
78,27.85677655436824,0.012512359768152237
79,27.85677655436824,0.012337944470345974
80,27.51363298439521,0.01262142788618803
81,27.51363298439521,0.012564796954393387
82,27.313000567495326,0.012575778178870678
83,27.313000567495326,0.012881790287792683
84,27.313000567495326,0.012845797464251518
85,26.92582403567252,0.01280355453491211
86,27.202941017470888,0.012890772894024849
87,27.202941017470888,0.012866592034697533
88,27.202941017470888,0.012635979801416397
89,26.248809496813376,0.013133395463228226
90,26.248809496813376,0.013365072198212147
91,25.632011235952593,0.01404112670570612
92,25.298221281347036,0.013659154996275902
93,25.709920264364882,0.013809838332235813
94,25.495097567963924,0.014235533773899078
95,25.495097567963924,0.014086169190704823
96,14.142135623730951,0.014896987937390804
97,13.416407864998739,0.014697723090648651
98,12.206555615733702,0.014776760712265968
99,12.041594578792296,0.015613568015396595
100,11.313708498984761,0.01607709564268589
101,11.313708498984761,0.016388891264796257
102,12.727922061357855,0.01624225825071335
103,12.041594578792296,0.016378847882151604
104,12.041594578792296,0.016530716791749
105,12.206555615733702,0.016409143805503845
106,13.038404810405298,0.01617937535047531
107,12.806248474865697,0.015546201728284359
108,13.601470508735444,0.0153471939265728
109,13.45362404707371,0.01488370168954134
110,24.331050121192877,0.01435981597751379
111,23.53720459187964,0.014394755475223064
112,23.53720459187964,0.014773810282349586
113,23.53720459187964,0.013885528780519962
114,23.53720459187964,0.01375020295381546
115,23.08679276123039,0.013439863920211792
116,22.80350850198276,0.013435861095786095
117,22.80350850198276,0.013306227512657642
118,23.08679276123039,0.013280022889375687
119,23.08679276123039,0.01332290843129158
120,23.08679276123039,0.012959915213286877
121,23.08679276123039,0.013030239380896091
122,23.769728648009426,0.01317965891212225
123,23.769728648009426,0.01310261245816946
124,23.769728648009426,0.013160097412765026
125,24.041630560342615,0.01307540014386177
126,24.041630560342615,0.013234333135187626
127,13.892443989449804,0.013348937034606934
128,13.892443989449804,0.013273248448967934
129,13.892443989449804,0.013140061870217323
130,13.416407864998739,0.013489251025021076
131,13.416407864998739,0.013470377773046494
132,13.416407864998739,0.013671142980456352
133,13.416407864998739,0.013735586777329445
134,13.92838827718412,0.01364914420992136
135,13.892443989449804,0.013530121184885502
136,13.892443989449804,0.013004206120967865
137,14.317821063276353,0.012888702563941479
138,14.560219778561036,0.0130613399669528
139,14.7648230602334,0.012971955351531506
140,15.231546211727817,0.012943003326654434
141,14.7648230602334,0.013040692545473576
142,14.317821063276353,0.013117986731231213
143,14.560219778561036,0.01260609645396471
144,14.317821063276353,0.012739338912069798
145,13.92838827718412,0.012984570115804672
146,13.92838827718412,0.012808592058718204
147,13.92838827718412,0.01265481486916542
148,14.560219778561036,0.012583186849951744
149,14.317821063276353,0.0124646732583642
150,14.7648230602334,0.012401211075484753
151,28.653097563788805,0.012181766331195831
152,27.730849247724095,0.012333972379565239
153,27.784887978899608,0.01209934987127781
154,27.730849247724095,0.012004183605313301
155,27.294688127912362,0.011804536916315556
156,26.419689627245813,0.012105340138077736
157,26.832815729997478,0.012078231200575829
158,26.40075756488817,0.012071723118424416
159,26.40075756488817,0.012314441613852978
160,26.40075756488817,0.011963226832449436
161,26.40075756488817,0.011934728361666203
162,26.570660511172846,0.011762366630136967
163,26.570660511172846,0.011935673654079437
164,26.92582403567252,0.011782280169427395
165,26.92582403567252,0.011858899146318436
166,26.248809496813376,0.012098606675863266
167,25.96150997149434,0.012360815890133381
168,25.632011235952593,0.012556328438222408
169,12.727922061357855,0.012891719117760658
170,13.45362404707371,0.01356695406138897
171,13.45362404707371,0.014537369832396507
172,13.45362404707371,0.015360439196228981
173,13.45362404707371,0.015314042568206787
174,13.45362404707371,0.015627287328243256
175,13.45362404707371,0.01562089566141367
176,12.727922061357855,0.015461490489542484
177,11.313708498984761,0.015317399054765701
178,11.313708498984761,0.015202920883893967
179,12.041594578792296,0.015288122929632664
180,12.041594578792296,0.015489956364035606
181,12.041594578792296,0.015669941902160645
182,12.041594578792296,0.016317956149578094
183,12.041594578792296,0.016472449526190758
184,12.041594578792296,0.01643584854900837
185,12.041594578792296,0.01580146513879299
186,12.041594578792296,0.015740932896733284
187,11.313708498984761,0.015264599584043026
188,11.313708498984761,0.015176292508840561
189,11.313708498984761,0.01504711527377367
190,11.313708498984761,0.014445065520703793
191,11.313708498984761,0.01397332176566124
192,11.313708498984761,0.014129565097391605
193,12.041594578792296,0.013955993577837944
194,12.041594578792296,0.013923470862209797
195,12.041594578792296,0.013898641802370548
196,12.041594578792296,0.014030261896550655
197,12.041594578792296,0.014216098934412003
198,12.041594578792296,0.014267549850046635
199,12.041594578792296,0.014228206127882004
200,12.041594578792296,0.013830716721713543
201,11.313708498984761,0.01414182223379612
202,24.515301344262525,0.014277714304625988
203,24.698178070456937,0.014465756714344025
204,24.73863375370596,0.014478275552392006
205,25.0,0.014612738974392414
206,25.0,0.014470601454377174
207,25.632011235952593,0.014235857874155045
208,13.0,0.014168324880301952
209,13.0,0.01398624386638403
210,12.649110640673518,0.01412088144570589
211,13.0,0.014331097714602947
212,13.601470508735444,0.014490824192762375
213,13.601470508735444,0.014536035247147083
214,14.035668847618199,0.014534725807607174
215,14.317821063276353,0.01435023918747902
216,14.317821063276353,0.014845123514533043
217,13.416407864998739,0.014528101310133934
218,14.7648230602334,0.013943937607109547
219,15.524174696260024,0.013628772459924221
220,15.231546211727817,0.013795221224427223
221,13.0,0.013858335092663765
222,13.0,0.013960805721580982
223,12.529964086141668,0.01418554037809372
224,12.529964086141668,0.01416171807795763
225,12.083045973594572,0.013966893777251244
226,12.529964086141668,0.013814721256494522
227,11.661903789690601,0.013931622728705406
228,11.661903789690601,0.01409584004431963
229,11.661903789690601,0.013916748575866222
230,12.206555615733702,0.013898835517466068
231,12.206555615733702,0.013845524750649929
232,11.661903789690601,0.013870080932974815
233,10.816653826391969,0.013809473253786564
234,10.770329614269007,0.013692822307348251
235,11.40175425099138,0.01351372990757227
236,12.083045973594572,0.013721605762839317
237,28.653097563788805,0.01376374438405037
238,29.068883707497267,0.013744460418820381
239,29.068883707497267,0.013756624422967434
240,29.068883707497267,0.013719707727432251
241,28.635642126552707,0.013685686513781548
242,28.635642126552707,0.013470578007400036
243,12.529964086141668,0.013441833667457104
244,12.206555615733702,0.01367964968085289
245,12.206555615733702,0.013641591183841228
246,11.40175425099138,0.013665489852428436
247,10.770329614269007,0.013535058125853539
248,10.0,0.013464638963341713
249,10.63014581273465,0.014013337902724743
250,11.313708498984761,0.013862052001059055
251,11.313708498984761,0.013845933601260185
252,12.041594578792296,0.013414595276117325
253,11.313708498984761,0.01341382134705782
254,11.40175425099138,0.012991303578019142
255,11.661903789690601,0.012695801444351673
256,11.40175425099138,0.01258131768554449
257,11.40175425099138,0.012468408793210983
258,12.083045973594572,0.012406878173351288
259,12.206555615733702,0.012411504052579403
260,12.083045973594572,0.012720208615064621
261,12.041594578792296,0.01286771334707737
262,12.806248474865697,0.012964777648448944
263,12.529964086141668,0.012989516369998455
264,11.40175425099138,0.012794116511940956
265,11.40175425099138,0.012842278927564621
266,11.40175425099138,0.012781418859958649
267,11.180339887498949,0.013524811714887619
268,12.529964086141668,0.014246698468923569
269,12.529964086141668,0.01436691079288721
270,12.529964086141668,0.01462890300899744
271,12.529964086141668,0.015096180140972137
272,12.529964086141668,0.015291783027350903
273,12.206555615733702,0.015866626054048538
274,11.180339887498949,0.01563664898276329
275,12.041594578792296,0.015346163883805275
276,11.661903789690601,0.01536866556853056
277,12.529964086141668,0.015237498097121716
278,12.083045973594572,0.014899326488375664
279,12.529964086141668,0.014239600859582424
280,12.529964086141668,0.01431678794324398
281,11.40175425099138,0.013719053007662296
282,12.041594578792296,0.013388612307608128
283,12.806248474865697,0.013249007053673267
284,11.661903789690601,0.013543205335736275
285,11.661903789690601,0.013875450938940048
286,11.661903789690601,0.013733773492276669
287,11.40175425099138,0.013554236851632595
288,12.041594578792296,0.013666924089193344
289,12.206555615733702,0.013768677599728107
290,12.041594578792296,0.013636579737067223
291,12.041594578792296,0.013889199122786522
292,11.313708498984761,0.013475759886205196
293,23.769728648009426,0.013756122440099716
294,23.769728648009426,0.013708565384149551
295,23.769728648009426,0.013966674916446209
296,23.706539182259394,0.01375771127641201
297,23.769728648009426,0.014075514860451221
298,23.769728648009426,0.01443840004503727
299,23.706539182259394,0.014658543281257153
300,23.259406699226016,0.014546218328177929
