epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.5942280542850495,"[0.9519439339637756, 0.27507391571998596, 0.2013709545135498, 0.32878464460372925, 0.20385856926441193, 0.18628446757793427, 0.19181065261363983]","[0.9508849382400513, 0.259846955537796, 0.17397023737430573, 0.3379044830799103, 0.174097940325737, 0.1643265187740326, 0.16198429465293884]"
2,1.0162117791175842,"[0.9822520017623901, 0.7227980494499207, 0.6321246027946472, 0.6753029227256775, 0.6341076493263245, 0.22104988992214203, 0.43114036321640015]","[0.9807305932044983, 0.663112223148346, 0.5776049494743347, 0.6910987496376038, 0.5433008670806885, 0.2008667290210724, 0.33645981550216675]"
3,0.6661783069372177,"[0.9936364889144897, 0.7913826107978821, 0.7261237502098083, 0.8479987978935242, 0.774372935295105, 0.44125333428382874, 0.7437942624092102]","[0.992885172367096, 0.7588587403297424, 0.6704949736595154, 0.838117241859436, 0.757969081401825, 0.3992728590965271, 0.6687394380569458]"
4,0.4703310400247574,"[0.9932463765144348, 0.8528069853782654, 0.6831663846969604, 0.8172305822372437, 0.7443578839302063, 0.4508369266986847, 0.6857524514198303]","[0.9929653406143188, 0.8315466046333313, 0.6085160970687866, 0.8272852897644043, 0.7177432775497437, 0.40244463086128235, 0.6084632873535156]"
5,0.4184442341327667,"[0.9963721632957458, 0.8289454579353333, 0.7679915428161621, 0.8844295144081116, 0.8581389784812927, 0.6063356995582581, 0.822461724281311]","[0.9960809350013733, 0.7814880609512329, 0.7035966515541077, 0.8736453056335449, 0.7051286697387695, 0.49586060643196106, 0.7254598736763]"
6,0.39556595623493196,"[0.994807779788971, 0.8560763001441956, 0.7908938527107239, 0.7851552963256836, 0.8068622946739197, 0.5043941736221313, 0.7828220129013062]","[0.994146466255188, 0.8165208101272583, 0.7184072136878967, 0.8057771921157837, 0.7268087267875671, 0.41303205490112305, 0.6927998661994934]"
7,0.3694609490036964,"[0.9950698018074036, 0.8832029700279236, 0.7775790095329285, 0.8692126870155334, 0.8163244128227234, 0.4957417845726013, 0.8204955458641052]","[0.9941639304161072, 0.8460545539855957, 0.7065574526786804, 0.8432984352111816, 0.7321634292602539, 0.40739351511001587, 0.7132084965705872]"
8,0.35695767670869827,"[0.9962674379348755, 0.8400807976722717, 0.7998796701431274, 0.8881305456161499, 0.8327401280403137, 0.6017568707466125, 0.8245210647583008]","[0.9956628084182739, 0.7955480813980103, 0.7031973004341125, 0.8004299402236938, 0.7246289253234863, 0.48093923926353455, 0.7428731322288513]"
9,0.34772567987442016,"[0.9960005879402161, 0.8425899744033813, 0.7675580978393555, 0.8975949287414551, 0.8555113673210144, 0.5827824473381042, 0.8126835227012634]","[0.9952906370162964, 0.7831906080245972, 0.7205394506454468, 0.87004154920578, 0.7688798904418945, 0.43705257773399353, 0.7138733267784119]"
10,0.3196196734905243,"[0.996677041053772, 0.8572875261306763, 0.7878580093383789, 0.8715000748634338, 0.8644322156906128, 0.6728727221488953, 0.8046241402626038]","[0.9961264729499817, 0.8114669919013977, 0.7236223220825195, 0.8534207940101624, 0.7395675778388977, 0.49905887246131897, 0.7185503244400024]"
