epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.8100253731705422,"[0.8067959547042847, 0.24593691527843475, 0.06711578369140625, 0.09108025580644608, 0.07434771209955215, 0.0951445922255516, 0.040636248886585236]","[0.8003830909729004, 0.2368541657924652, 0.05494283512234688, 0.12090613692998886, 0.10570307075977325, 0.11514004319906235, 0.03926815092563629]"
2,1.3049157747002536,"[0.953838050365448, 0.6320896148681641, 0.2603653073310852, 0.24307921528816223, 0.18338894844055176, 0.12129607051610947, 0.38093915581703186]","[0.9452199935913086, 0.6133143305778503, 0.21972227096557617, 0.2181142121553421, 0.24542109668254852, 0.14120471477508545, 0.36092647910118103]"
3,1.1247860151667928,"[0.9760509729385376, 0.33002349734306335, 0.5874573588371277, 0.4974316656589508, 0.6996335983276367, 0.2042239010334015, 0.6827558279037476]","[0.9728472828865051, 0.3306988477706909, 0.5306812524795532, 0.4340372681617737, 0.7100914120674133, 0.2254183292388916, 0.64127117395401]"
4,0.9651230545931084,"[0.9940675497055054, 0.8206340670585632, 0.7342289090156555, 0.742895781993866, 0.7683674693107605, 0.48994213342666626, 0.7129024267196655]","[0.9935678243637085, 0.7853913307189941, 0.6615354418754578, 0.7907175421714783, 0.779186487197876, 0.48280662298202515, 0.6197856664657593]"
5,0.7646544340044953,"[0.9758808016777039, 0.730497419834137, 0.6772652864456177, 0.7697349786758423, 0.6160821318626404, 0.15491154789924622, 0.531183660030365]","[0.9754390716552734, 0.6749017238616943, 0.576836884021759, 0.7591819763183594, 0.6325360536575317, 0.18834541738033295, 0.5020815134048462]"
6,0.608957264312478,"[0.9805269241333008, 0.3479072153568268, 0.741087794303894, 0.8407943844795227, 0.4873116910457611, 0.32050520181655884, 0.46556147933006287]","[0.9778923988342285, 0.3939376771450043, 0.6125454902648926, 0.7952715158462524, 0.4845433235168457, 0.3366855978965759, 0.3241959512233734]"
7,0.540406480085018,"[0.9679555892944336, 0.4098418354988098, 0.0951845645904541, 0.6090818643569946, 0.6921510696411133, 0.36648452281951904, 0.3942181169986725]","[0.9657112956047058, 0.3663792014122009, 0.08761222660541534, 0.5140713453292847, 0.6248435974121094, 0.42225056886672974, 0.390692800283432]"
8,0.5100011479022891,"[0.9957047700881958, 0.781226634979248, 0.7632383704185486, 0.8534077405929565, 0.7105630040168762, 0.5716909766197205, 0.8145917654037476]","[0.9956930875778198, 0.7414751648902893, 0.6752090454101562, 0.8818105459213257, 0.7301844358444214, 0.5616024732589722, 0.7570794820785522]"
9,0.4063574325206668,"[0.995510458946228, 0.8379673957824707, 0.7356635332107544, 0.8111809492111206, 0.7908313274383545, 0.539139986038208, 0.8374654650688171]","[0.9955582618713379, 0.8262926340103149, 0.6742626428604126, 0.8356735110282898, 0.8020912408828735, 0.5562502145767212, 0.7544496059417725]"
10,0.40926624176114107,"[0.993763267993927, 0.8068366050720215, 0.7684847116470337, 0.8743041753768921, 0.8237272500991821, 0.4227648675441742, 0.8188732862472534]","[0.9937717318534851, 0.7867369055747986, 0.720880389213562, 0.8754310607910156, 0.8182457089424133, 0.4753696322441101, 0.7356794476509094]"
11,0.38386487337045894,"[0.9962362051010132, 0.84559565782547, 0.8069427609443665, 0.8446127772331238, 0.8159673810005188, 0.5752705931663513, 0.8173071146011353]","[0.9963235855102539, 0.8290755152702332, 0.7362241148948669, 0.8749107122421265, 0.802821159362793, 0.5903990268707275, 0.7431763410568237]"
12,0.38446383004964785,"[0.9942647218704224, 0.8632305264472961, 0.8093158602714539, 0.8627163171768188, 0.743893563747406, 0.39730343222618103, 0.7743110656738281]","[0.9944707751274109, 0.8383865356445312, 0.6660763025283813, 0.8702834844589233, 0.7441844344139099, 0.44879603385925293, 0.6942536234855652]"
13,0.39882394671440125,"[0.9945073127746582, 0.7715047597885132, 0.7612963914871216, 0.8922909498214722, 0.8417375683784485, 0.5176754593849182, 0.7379463315010071]","[0.9943355321884155, 0.715279757976532, 0.6512900590896606, 0.8989435434341431, 0.8288730382919312, 0.5636564493179321, 0.6715646982192993]"
14,0.3866357574629229,"[0.9957081079483032, 0.8713614344596863, 0.7820791006088257, 0.8492962121963501, 0.8092920184135437, 0.5236536264419556, 0.8407517671585083]","[0.9957524538040161, 0.8527764081954956, 0.7198529839515686, 0.8552355766296387, 0.8087294697761536, 0.5358971357345581, 0.7642894387245178]"
15,0.352234271376632,"[0.9964620471000671, 0.883036732673645, 0.7624558210372925, 0.8301459550857544, 0.8302176594734192, 0.5947381258010864, 0.8443415760993958]","[0.9963788986206055, 0.8536005020141602, 0.7217757105827332, 0.8325002789497375, 0.8091744184494019, 0.5940442085266113, 0.7656838893890381]"
16,0.3349295785260755,"[0.9965397119522095, 0.8720202445983887, 0.8129804730415344, 0.8282884359359741, 0.8498571515083313, 0.6108493208885193, 0.8454097509384155]","[0.9962599873542786, 0.8509950637817383, 0.6856527924537659, 0.8360556364059448, 0.8322113156318665, 0.6014415621757507, 0.7662009596824646]"
17,0.3283835261367088,"[0.9966551661491394, 0.8805287480354309, 0.8193842172622681, 0.8437654376029968, 0.8319393992424011, 0.6110379099845886, 0.8521212339401245]","[0.9963427782058716, 0.8520697355270386, 0.7374045252799988, 0.8341653943061829, 0.8210968971252441, 0.5967588424682617, 0.7768140435218811]"
18,0.33480451134748235,"[0.9966042637825012, 0.8791399002075195, 0.7644855380058289, 0.898169219493866, 0.8124293088912964, 0.6109514236450195, 0.8468101620674133]","[0.9965367317199707, 0.8547670245170593, 0.7026329040527344, 0.8931242823600769, 0.8138067126274109, 0.6097447872161865, 0.7703171372413635]"
19,0.33239730846050175,"[0.9967463612556458, 0.8620220422744751, 0.7425519227981567, 0.8820452690124512, 0.8700283765792847, 0.6367682218551636, 0.8563082814216614]","[0.9965575933456421, 0.8401411771774292, 0.6947494745254517, 0.8870012164115906, 0.846268355846405, 0.6075389981269836, 0.7511880993843079]"
20,0.32366799545842545,"[0.9968816041946411, 0.9018329381942749, 0.8205445408821106, 0.8740392923355103, 0.8506167531013489, 0.6082895398139954, 0.8609848022460938]","[0.9965571165084839, 0.8645599484443665, 0.7227566838264465, 0.8885287046432495, 0.8305997848510742, 0.5982115864753723, 0.749005913734436]"
21,0.30981615670891693,"[0.9965723156929016, 0.8606709241867065, 0.7826744914054871, 0.8796290159225464, 0.8622604608535767, 0.6134949922561646, 0.8455808758735657]","[0.9962915182113647, 0.8372374773025513, 0.7221115231513977, 0.8725892901420593, 0.8444474339485168, 0.601062536239624, 0.7300950288772583]"
