epoch,train_loss,train_dice_per_class,val_dice_per_class
1,1.8444729566574096,"[0.7620068788528442, 0.3068896234035492, 0.204504132270813, 0.25042417645454407, 0.06390223652124405, 0.14236734807491302, 0.021727632731199265]","[0.7287585139274597, 0.2366587370634079, 0.1412300020456314, 0.3411369323730469, 0.07270701974630356, 0.13498662412166595, 0.015584487468004227]"
2,1.287850687238905,"[0.9299848079681396, 0.4548115134239197, 0.43719682097435, 0.3979865312576294, 0.13479100167751312, 0.1644865870475769, 0.10248304903507233]","[0.9221140742301941, 0.3133692145347595, 0.28285035490989685, 0.39117705821990967, 0.13720287382602692, 0.14220662415027618, 0.0661686360836029]"
3,1.1244280258814494,"[0.950078547000885, 0.4851084351539612, 0.42124810814857483, 0.5127866268157959, 0.08915763348340988, 0.16164392232894897, 0.24621455371379852]","[0.9496349692344666, 0.3468640148639679, 0.32173892855644226, 0.5091581344604492, 0.12745200097560883, 0.15512877702713013, 0.1509121060371399]"
4,1.0212477286656698,"[0.9813072681427002, 0.7452166080474854, 0.26550161838531494, 0.5571410655975342, 0.36641958355903625, 0.31113743782043457, 0.6476570963859558]","[0.9794784188270569, 0.6109341979026794, 0.16140955686569214, 0.47168195247650146, 0.3692011535167694, 0.2754085958003998, 0.5244315266609192]"
5,0.8305646088388231,"[0.9909737706184387, 0.8174099326133728, 0.6633246541023254, 0.6675768494606018, 0.5717963576316833, 0.391855925321579, 0.7380594611167908]","[0.9893152713775635, 0.6773151755332947, 0.5865684151649475, 0.6294596195220947, 0.4644792973995209, 0.3247036635875702, 0.5627167224884033]"
6,0.5965823398696052,"[0.9895933866500854, 0.8209351301193237, 0.3287769556045532, 0.5030573606491089, 0.6006860136985779, 0.4281509518623352, 0.6483474969863892]","[0.98832106590271, 0.6846756339073181, 0.23593105375766754, 0.430392324924469, 0.4522813558578491, 0.37253233790397644, 0.4970320165157318]"
7,0.49392347203360665,"[0.9956209659576416, 0.837670087814331, 0.7774178981781006, 0.8507515788078308, 0.8326494097709656, 0.5421460270881653, 0.8259039521217346]","[0.9954386949539185, 0.7255605459213257, 0.5385242104530334, 0.5920662879943848, 0.4843553900718689, 0.48714679479599, 0.681884765625]"
8,0.41514165335231357,"[0.9958321452140808, 0.8266848921775818, 0.7472471594810486, 0.8903082609176636, 0.8636505603790283, 0.6004065871238708, 0.8028238415718079]","[0.9955548048019409, 0.706978976726532, 0.5703393220901489, 0.6760313510894775, 0.5524268746376038, 0.5222933292388916, 0.6501177549362183]"
9,0.3966173364056481,"[0.9935019016265869, 0.8878514766693115, 0.7397381067276001, 0.8412420749664307, 0.8136322498321533, 0.4109783470630646, 0.7681121826171875]","[0.9940102100372314, 0.739996075630188, 0.5650282502174377, 0.6594789028167725, 0.627626895904541, 0.40054643154144287, 0.6936795115470886]"
10,0.39950504038068985,"[0.9939815998077393, 0.8600147366523743, 0.7185714244842529, 0.7408494353294373, 0.686308741569519, 0.47558653354644775, 0.8049570322036743]","[0.9937258958816528, 0.7409680485725403, 0.5907177925109863, 0.6772484183311462, 0.5932977795600891, 0.41057002544403076, 0.6785874962806702]"
