structure,n_patients,flash_median,rssfp_median,median_diff_flash_minus_rssfp,mean_diff_flash_minus_rssfp,n_flash_better,n_rssfp_better,n_tied,wilcoxon_stat,p_raw,significant_holm
ASC,12,0.7607860565185547,0.820304661989212,-0.04554051160812378,-0.05065444856882095,4,8,0,21.0,0.17626953125,False
CLAV,12,0.8307760655879974,0.8097954094409943,0.01750132441520691,0.027727673451105755,8,4,0,18.0,0.10986328125,False
K1,12,0.4799022525548935,0.48440292477607727,0.0655263215303421,0.030565829326709096,7,5,0,28.0,0.423828125,False
MSC,12,0.7617066502571106,0.7114741802215576,0.03608405590057373,0.040704064071178436,8,4,0,22.0,0.20361328125,False
PB,12,0.701651394367218,0.6949271857738495,0.05353984236717224,0.017371751368045807,7,5,0,30.0,0.5185546875,False
VSC,12,0.8678792119026184,0.8658647537231445,-0.008439779281616211,-0.015951270858446748,4,8,0,23.0,0.2333984375,False
